Date Finished,Name,Current Val,Best Val,Save Directory
11-03-20_19:06:34, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=0, 0.7420, 0.7620, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
11-03-20_19:15:38, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=1, 0.7360, 0.7540, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
11-03-20_19:24:42, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=2, 0.8220, 0.8540, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
11-03-20_19:33:45, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=3, 0.7920, 0.8300, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
11-03-20_19:42:48, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=4, 0.8200, 0.8460, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
11-03-20_19:52:12, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=0, 0.7600, 0.7820, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
11-03-20_20:01:24, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=1, 0.7860, 0.8000, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
11-03-20_20:10:34, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=2, 0.8600, 0.8800, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
11-03-20_20:19:47, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=3, 0.8860, 0.8960, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
11-03-20_20:28:57, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=4, 0.8620, 0.8620, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
11-03-20_20:38:23, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=0, 0.8060, 0.8260, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=4~try=0
11-03-20_20:47:36, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=1, 0.8020, 0.8140, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=4~try=0
11-03-20_20:56:50, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=2, 0.8740, 0.9020, runs/SupsupSeed_run2/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=4~try=0
